main | Главная | Crossceed Finance
choose_currency_buy | Выберите валюту для покупки | Wählen Sie eine Währung zum Kaufen aus
you_get | Вы получите | Sie bekommen
enough_balance | Недостаточный баланс | Nicht ausreichender Kontostand
exchange_completed | Обмен завершен | Tausch abgeschlossen
wallet_history | История платежей | Zahlungsverlauf
date | Дата | Datum
operation | Операция | Operation
information | Информация | Information
payment_manual | Все платежи производятся раз в 24 часа по запросу и в ручном режиме. | Alle Zahlungen erfolgen einmal alle 24 Stunden auf Anfrage und im manuellen Modus.
status | Состояние | Stand
complete | Выполненно | Fertig
pending | В ожидании | In Erwartung
declined | Отклонено | Abgelehnt
wallet | Кошелек | Geldbörse
read_more | Читать больше | Lesen Sie mehr
account_verification | Верификация аккаунта | Bestätigung des Kontos
first_name | Имя | Vorname
second_name | Фамилия | Nachname
patronymic | Отчество | Vatername
address | Адрес | Adresse
password | Пароль | Passwort
OK | OK | OK
document_1 | Загрузить 1-ую страницу документа | Laden Sie die erste Seite des Dokuments herunter
document_2 | Загрузить 2-ую страницу документа  | Laden Sie die zweite Seite des Dokuments herunter
send | Отправить | Senden
vip_request | Подать заявку на VIP | VIP - Anfrage
have_vip_request | У вас уже есть не рассмотренные заявки | Sie haben bereits ausstehende Anträge
wrong_format | Неверный формат файла | Ungültiges Dateiformat
first_file | Загрузить первый файл | Erste Datei herunterladen
uploaded | Загруженно | Geladen
bad_password | Новый пароль не удовлетворяет требованиям | Das neue Passwort entspricht nicht den Anforderungen
user | Пользователь | Benutzer
technical_issue | <p>Technical issue page content</p> | <p>Technical issue page content</p>
subject | Тема | Betreff
close_ticket | Закрыть Тикет | Geschlossene Anfrage
create | Создать | erstellen
comment | Комментарий | Kommentar
add | Добавить | Hinzufügen
open | Открыто | Geöffnet
closed | Закрыто | Geschlossen
your_tickets | Ваши Квитанции | Ihre Quittungen
question | Вопрос | Frage
error | Ошибка | Fehler
another | Другое | Andere
text | Текст | Text
INFO | Инфо | Information
refresh | Обновить | Aktualisieren
replenish | Пополнение | Auffüllen
payout | Выплата | Auszahlung
replenish_balance | Пополнить баланс | Guthaben aufladen
choose_wallet | Выберите свой кошелек | Kontoauswahl
quantity | Введите количество | Menge eingeben
available | Доступно | Verfügbar
minimal | Минимум | Minimum
commision | Комиссия | Kommission
XLM_address | Ваш XLM-адрес | Ihre XLM-Adresse
memo_ID | Memo ID (необязательно) | Memo ID (optional)
create_request | Создать запрос | Anfrage erstellen
check_code | Введите код проверки с электронной почты | Geben Sie den Bestätigungscode aus der E-Mail ein
trade_process | Процесс Торговли | Handelsprozess
start_robot | Старт Робота | Roboterstart
trade_dont | Торговля не работает | Handel außer betrieb
email_code_2 | Для подтверждения введите код из письма | Geben Sie zur Bestätigung den Code aus dem Brief
volume_24 | Объем торгов за 24 часа | 24 Stunden Handelsvolumen
order_amount | Введите сумму заказа | Bestellbetrag eingeben
apply | Применить | Anwenden
bid_USD | Bid USD | Bid USD
ask_USD | Ask USD | Ask USD
chg_24h | Chg 24h | Chg 24h
graphs | Графики | Grafiken
to_processing | Перейти к обработке заказа | Gehen Sie zur Auftragsabwicklung
days | Дней | Tage
number_days | Количество рабочих дней | Anzahl der Arbeitstage
start | Старт | Start
stop | Стоп | Stop
arbitrage | Арбитраж | Schiedsgerichtsbarkeit
server_time | Серверное время | Serverzeit
CALCULATION | РАСЧЕТ АРБИТРАЖНОЙ СИСТЕМЫ | BERECHNUNG DES SCHIEDSVERFAHRENS
sale | Продажа | Verkauf
volume | Объем | Volumen
price | Цена | Preis
market_exchange | Рынок (обмен) | Markt (Austausch)
beneficiary | Бенефициар | Begünstigter
commission_bid | Комиссия/предложение | Provision / Angebot
amount | Количество | Anzahl
withdraw | Вывод / обмен (fiat) | Auszahlung / Austausch (fiat)
receipt | Получение | Erhalt
issuing_bank | Банк-Эмитент | Ausstellende Bank
requirements | Не выполнены условия для завершения операции. | Die Bedingungen für den Abschluss des Vorgangs wurden nicht erfüllt.
transit_paysafe | Транзит Adyen | Transit Adyen
purchase | Покупка | Kauf
commission_withdraw | Комиссия/Вывод | Provision /Auszahlung
delta | Дельта | Delta
distribution | Распределение | Verteilung
counterparty_sale | Контрагент/продажа | Gegenpartei / Verkauf
counterparty_purchase | Контрагент/покупка | Gegenpartei / Kauf
COMPANY | КОМПАНИЯ | Firma
delta_client | Дельта/Клиент | Delta / Kunde
partner | Партнер | Partner
total_transaction | Общая транзакция | Gesamttransaktion
transaction_result | Возврат результата транзакции (включая общую прибыль) | Rückgabe des Transaktionsergebnisses (einschließlich Gesamtgewinn)
confirm | Подтвердите операцию обмена | Bestätigen Sie den Austauschvorgang
proliminary | Предварительный | Vorläufig
online_orders | Онлайн заказы | Online-Bestellungen
no_premilinary | Нет предварительных заказов | Keine Vorbestellungen
current_status | Текущий статус | Aktueller Status
transaction_hash | Хэш транзакции | Transaktions-Hash
commission_withdrawal | Комиссия/снятие USD | Provision / Auszahlung USD
dispatch_volume | Объем отправки | Versandvolumen
comission_operator | Оператор комиссии | Betreiber der Kommission
no_request | У вас нет заявок на торговлю | Sie haben keine Handelsanfragen
detail | Подробнее | Detail
new | НОВЫЙ | NEU
accept | ПРИНЯТ | AKZEPTIERT
decline | ОТКЛОНЕН | ABGELEHNT
fail | СБОЙ | FEHLER
back | Назад | Zurück
stage_1 | Этап сделки 1 | Transaktionsphase 1
stage_2 | Этап сделки 2 | Transaktionsphase 2
stage_3 | Этап сделки 3 | Transaktionsphase 3
stage_4 | Этап сделки 4 | Transaktionsphase 4
stage_5 | Этап сделки 5 | Transaktionsphase 5
stage_6 | Этап сделки 6 | Transaktionsphase 6
ticket_created | Заявка Созданна | Anfrage erstellt
ticket_list | Список Заявок | Anfrageliste
comment_created | Комментарий добавлен | Kommentar hinzugefügt
ticket_closed | Тикет закрыт | Anfrage abgeschlossen
ticket | Заявка | Anfrage
referral_list | Список рефераллов | Referrals Liste
payment_history | История выплат | Auszahlungsverlauf
request_sended | Заявка подана | Anfrage eingereicht
trade_limit | Торговый лимит достигнут | Handelslimit erreicht
no_profit | Нет прибыли | Kein Gewinn
trade_sended | Отправлен торговый запрос | Handelsanfrage gesendet
minimum_refill | Ошибка минимального предела пополнения | Mindesteinzahlungslimitfehler
refill_sended | Запрос на пополнение отправлен | Aufladeanforderung gesendet
request_done | Заявка уже обработанна | Anfrage bearbeitet
request_confirmed | Заявка подтвеждена | Anfrage bestätigt
payment_destination | Введите назначение оплаты | Zahlungsziel
autotrade_isset | У вас есть не завершенный автотрейд. | Sie haben unvollendetes automatisiertes Trading
minimum_error | Ошибка минимального лимита выплат | Minimum Auszahlungslimitfehler
maximum_error | Ошибка максимального лимита выплат | Maximal Auszahlungslimitfehler
payout_request | Заявка на вывод средств | Auszahlungsanforderung
your_code_2 | Ваш код подтверждения | Ihr Bestätigungscode
not_found | Не найден | Nicht gefunden
no_autotrade | Нет запущеных автотрейдов | Keine aktive automatisierte tradings
autotrade_completed | Авторобот завершил работу. | Automatisierte trading  abgeschlossen
your_profit | Ваша прибыль | Ihr Gewinn
autotrade_already | Автотрейд уже запущен | Automatisierte Trading gestartet
autotrade | Автотрейд | Automatisierte Trading
autotrade_start | Авторобот запущен | Automatisierte Trading  gestartet
thank_you | Спасибо за то, что вы с нами! | Vielen Dank, dass Sie sich uns angeschlossen haben!
copy | Спасибо за то что вы с нами..      CROSSCEED.COM   Inc. Все права защищены. | Vielen Dank, dass Sie sich uns angeschlossen haben .....      CROSSCEED.COM   Inc. Alle Rechte vorbehalten..
trade_executed | Ордер успешно завершен . | Bestellung erfolgreich abgeschlossen.
wallet_amount | На ваш кошелек начислено: | Auf Ihrem Konto wurde gutgeschrieben:
detailed_history | Больше информации вы можете посмотреть на вашем аккаунте по вкладке меню history | Weitere Informationen können Sie in Ihren Account in Verlaufsmenü unter "History" finden
trade_complete | Торговля Завершена | Handel abgeschlossen
min_autotrade | Срок автотрейда меньше минимального | Die automatische Handelszeit ist kürzer als das Minimum
login_confirm | Подтвердите вход на crossceed.com | Login Bestätigung auf crossceed.com
login_confirm_text | На Ваш email было отправленно письмо с кодом для подтверждения входа. | An Ihre E-Mailadresse wurde eine E-Mail mit einem Bestätigungscode gesendet.
dear | Дорогой | Lieber
security_code | код безопасности | Sicherheitscode
qtyorder | Количество ордеров | Anzahl der Bestellungen
your_balance | Ваш баланс | Ihr Kontostand
order_cancelled | Ордер отменен . Причина : Изменение курса на бирже | Die Bestellung wurde storniert. Grund: Wechselkursänderung
account_verificated | Ваш акаунт верифицирован. Все ограничения сняты | Ihr Konto ist nun verifiziert.  Alle Einschränkungen wurden aufgehoben.
payment_order | Ордер на вывод . | Auszahlungsauftrag.
reg_code | Вы зарегистрировались на платформе crossceed.com. Введите код подтверждения регистрации<br/>Код подтвержения регистрации :  | Sie haben sich auf der crossceed.com-Plattform registriert. Geben Sie den Registrierungsbestätigungscode ein.<br/>Registrierungsbestätigungscode:
reg2 | Спасибо. Регистрация завершена. Аккаунт не верифицирован. Верифицируйте аккаунт для снятия ограничений  | Danke. Registrierung ist abgeschlossen. Konto  wurde nicht verifiziert. Verifizieren Sie Ihr Konto, um Einschränkungen aufzuheben
reg31 | Ваш аккаунт активирован, но не верифицирован вы можете создавать ордер максимум на | Ihr Konto ist aktiviert, aber nicht verifiziert. Sie können eine Bestellung mit maximal
reg32 | верифицируйте свой аккаунт для снятия ограничений | verifizieren Sie Ihr Konto, um Einschränkungen aufzuheben
vacancy_text | Мы ищем замечательных и умных людей, чтобы присоединиться к нашей растущей команде. Мы уже работаем в качественном партнерстве и необходимость в новых кадрах есть по всему миру. Поэтому, наша сеть агентов на криптовалютных рынках и менеджеров по операциям будет расти по мере расширения нашей деятельности. Будем рады видеть вас в команде! | Büyüyen ekibimize katılmak için yaratıcı ve akıllı ekip arkadaşları arıyoruz. Sizde ailemizin bir parçası olmak isterseniz; crossceed.com  tüm dünyada iş arkadaşları aramaktadır. Bu nedenle, operasyonlarımız genişledikçe kripto para piyasası aracıları,temsilcileri  ve operasyon yöneticileri ağımız büyüyecektir.Sizi aramızda görmekten mutluluk duyarız!
agree_with | согласие с | Ich habe
user_agreement | пользовательским соглашением | die Benutzervereinbarung
and | и | und
privacy | политикой конфидициальности | die Datenschutzrichtlinie
agree_with2 | Я прочитал и согласен с | gelesen und bin damit einverstanden
newsletter | получать новостную рассылку | Newsletter erhalten
registration_email | Код подтверждения выслан на email | Bestätigungscode wurde an E-Mail gesendet
system_agent | System Agent | System Agent
stockbroker | Биржевые Агенты | Börsenhändler
name | Имя | Name
country | Страна | Land
city | Город | Stadt
payment_system | Платежные системы | Zahlungssysteme
bank | Банк | Bank
company | Компания | Firma
vacancy_list | Список вакансий | Liste offener Stellen
vacancy_description | Описание вакансии | Beschreibung offener Stelle
tech_division | Технический отдел | Technische Abteilung
agent_info | Информация про биржевых агентов | Informationen über Börsenhändler
ads | Реклама и продвижение | Werbung und Marketing
VIP_accounts | VIP accounts | VIP accounts
time | Время | Zeit
time_place | Местное время | Ortszeit
qty | Количество | Anzahl
adelta | Арбитражная дельта | Arbitrage-Delta
profitability | Доходность | Rendite
result | Итог | Ergebnis
sell | Продажа | Verkauf
buy | Покупка | Einkauf
last_operation | Последние операции | Letzte Operationen
loading_start | Начало загрузки | Downloads-Start
structure | Структура | Struktur
autorobot | Авторобот | Autoroboter
merchant | Мерчант | Merchant
global_merchant | мерчант для глобальных платежей | Merchant für globale Zahlungen
cancel | ОТМЕНИТЬ | ABBRECHEN
autotrade_block | Заблокировано на время автотрейда. | Wurde während des Autohandels blockiert.
request_rejected | Заявка отклонена | Antrag wurde abgelehnt
local_time | Местное время | Ortszeit
link | ссылка | Link
referal_program | Реферальная программа | Werbeprogramm
top_bid | Top bid | Top bid
lowest_ask | Lowest ask | Lowest ask
agent_list | Agent List | Agent List
deposit | Deposit | Deposit
withdrawal | Withdrawal | Withdrawal
balance_refill | Баланс пополнен на | Bilanz wurde aufgefüllt
select_tradee | Выберите Биржу | Börse wählen
trade_active | У вас есть активные торговые операции | Sie haben aktive Transaktionen
commission_agent | Комиссия агента | Agent-Kommission
operation_qty | Количество сделок | Transaktionen-Anzahl
operation_qty_left | Осталось сделок | Verbleibende Transaktionen
min_autotrade_2 | Не верное количество операций | Falsche Operationen-Anzahl
isset_balance_exchange | Доступный баланс для обмена | Verfügbares Tauschguthaben
exchange_not_enouth_money | Недостаточно средств на обменном балансе | Nicht genügend Mittel in der Wechselbilanz
exchange_mist | Ошибка определения текущего обменного курса. Попробуйте сделать поппытку немного позже. | Fehler bei der Bestimmung aktuelles Wechselkurses. Bitte versuchen Sie es später noch einmal.
enter_amount_for_trade | Вы не ввели сумму | Sie haben keinen Betrag eingegeben
min_amount_for_trade | Введите сумму больше минимальной | Geben Sie einen Betrag ein, der größer als der Mindestbetrag ist
history_payment_o1 | Операция обмена криптовалют | Kryptowährungsaustausch
history_payment_o2 | Пополнение депозита | Deposit-Einzahlung
history_payment_o4 | Вывод с депозита | Auszahlung von Deposit
history_payment_o5 | Операция трэйда | Handelsoperation
history_payment_o8 | Ошибка по операции треда, возврат средств. | Handelstransaktion-Fehler, Mittel-Rückerstattung.
history_payment_o10 | Списание по автороботу. | Abschreibung per Autoroboter.
history_payment_o7 | Пополнение после работы авторобота. | Auffüllung nach der Autoroboter-Arbeit
history_payment_o22 | Возврат средст после остановки авторобота. | Mittel-Rückerstattung nach dem Stopp des Autoroboters.
history_payment_o11 | Реферальное вознаграждение. | Werbeprämie.
history_payment_o15 | Поступление после операции. | Eingang nach der Operation.
history_payment_o23 | Возврат срдест при сбое работы авторобота. | Mittel-Rückerstattung nach der Arbeit-Störung des Autoroboters.
how_work_on_platform | Как работать на платформе | Wie es funktioniert
cookie_agreement | Мы используем файлы cookies. Нажмите здесь, чтобы подтвердить свое согласие на использование cookies. | Wir verwenden Cookies. Klicken Sie hier, um Ihre Zustimmung zur Verwendung von Cookies zu bestätigen.
cookie_agreement_2 | Ознакомьтесь с нашей политикой конфиденциальности. | Lesen Sie unsere Datenschutzbestimmungen.
agree | Согласен | Genau
balance_send | Отправьте | einreichen
balance_to_this_address | на этот адрес | an diese Adresse
balance_will_update_automatically | Баланс будет обновлен автоматически | Der Kontostand wird automatisch aktualisiert
history_payment_o24 | Ожидание поступления на депозит | Warten auf eine Anzahlung
expect_intro_money | Ожидание поступления | Warten auf Aufnahme
summ_added_to_balance | Баланс успешно пополнен! | Der Restbetrag wurde erfolgreich aufgefüllt!
question_created | Вопрос отправлен | Frage gesendet
question_receive | Ваш запрос получен и зарегистрирован под номером | Ihre Anfrage wurde empfangen und unter der Nummer registriert
question_we_will_answer | Мы ответим Вам в ближайшее время. | Wir werden Ihnen in Kürze antworten
question_question | Вопрос | Frage
question_support_ans | Ответ по запросу | Antwort auf Anfrage
question_support_ans_2 | Наш ответ по Вашему запросу | Unsere Antwort auf Ihre Anfrage
question_support_your_question_from | Ваш вопрос от | Deine Frage von
else_agent | Ещё агенты | Weitere Agenten
pending_sucs | подтверждение | die Bestätigung
request_confirmed_link | Ссылка подтверждения. | Link zur Bestätigung des Betriebs.
limit_payout_at_day | Вы уже достигли лимита по количеству выводов в день | Sie haben Ihr tägliches Auszahlungslimit bereits erreicht
limit_col_days | Выводить средства можно не раньше чем через {x} дней после пополнения! | Sie können frühestens {x} Tage nach der Einzahlung Geld abheben!
text_develop_app | Приложение находится в разработке. Планируемая дата выхода: 15.10.2020 г. | Die Anwendung befindet sich in der Entwicklung. Geplantes Erscheinungsdatum: 15.12.2020
history_payment_o30 | Ожидание завершения трэйда | Pending trade
history_payment_o31 | Ожидание завершения трэйда | Pending trade
new_password | Новый пароль | Neues Kennwort
restore | Восстановить | Wiederherstellen
restore_password | Забыли пароль? | Passwort vergessen?
restore_pswd | Восстановить пароль | Passwort wiederherstellen
remember_the_password | Вспомнили пароль? | Passwort vergessen?
wrong_email | Такой email не существует | Diese E-Mail existiert nicht
change_pswd_ok | Ваш пароль изменён | Ihr Passwort wurde geändert
restore_code | Вы запросили восстановления пароля на платформе crossceed.com. Введите код подтверждения восстановления.<br/><br/>Код восстановления пароля регистрации :  | Sie haben die Kennwortwiederherstellung auf der crossceed.com-Plattform angefordert. Wiederherstellungsbestätigungscode eingeben Registrierungskennwort Wiederherstellungscode:
about_menu | О нас | Über uns
partners | Партнёрам | Partnerp
VIP | VIP | VIP
VIP_modal_title | Выгодные VIP партнерские программы | Profitable VIP-Partnerprogramme
VIP_modal_content | Особые VIP клиенты по вашей партнёрской ссылке обсуждаются лично с вами. | pezielle VIP-Kunden, die Ihren Partnerlink verwenden, werden persönlich mit Ihnen besprochen.
copy_right | Все права защищены. Crossceed является торговой маркой компании Crossceed Finance LTD | Alle Rechte vorbehalten. Crossceed ist eine Marke von Crossceed Finan
suppot_mail | Если у вас возникли, какие-то вопросы по работе сайта, тогда обратитесь в нашу техническую поддержку | Wenn Sie Fragen oder nur Probleme haben, wenden Sie sich an unseren technischen Support
ip_mail | IP адрес | IP Adresse
vip_page_msg1 | VIP - клиентам | Vip - Kunden
vip_page_msg2 | VIP аккаунт - это кабинет где клиенту предоставляется увеличенное количество ордеров до 7 в день и более короткие промежутки между сделками , а так же увеличенный доход от сделки. | Das vip-Konto ist ein Schrank, in dem dem Kunden eine erhöhte Anzahl von Bestellungen bis zu 7 pro Tag und kürzere Intervalle zwischen Transaktionen sowie höhere Einnahmen aus einer Transaktion zur Verfügung gestellt werden.
vip_page_msg3 | Условия получения VIP аккаунта: | Bedingungen für die Erlangung eines VIP-Kontos:
vip_page_msg4 | 1. Верификация пользoвателя | 1. Benutzerüberprüfung
vip_page_msg5 | 2. Минимальный остаток на счёте для совершения сделок до 7 в сутки составляет 3 BTC или 85 ETH  на других криптовалютах это эквивалент $30 000 | 2. Der Mindestkontostand für Transaktionen bis zu 7 pro Tag beträgt 3 btc oder 85 eth für andere Kryptowährungen. Dies entspricht 30.000 USD
vip_page_msg6 | 3. У VIP клиентов не может быть партнёров | 3. Vip-Kunden können keine Partner haben.
vip_page_msg7 | 4. При необходимости необходимо отправить дополнительный документ для верификации и исключения поддельных данных | 4. Falls erforderlich, muss ein zusätzliches Dokument zur Überprüfung und zum Ausschluss gefälschter Daten gesendet werden.
vip_page_msg8 | Отправляя запрос Вы соглашаетесь с выше перечисленными условиями и Пользовательским соглашением. | Mit dem Absenden einer Anfrage stimmen Sie den oben genannten Geschäftsbedingungen und der Benutzervereinbarung zu.
demo_account | Demo account | Demo-Konto
view_more_markets | Посмотреть больше | Weitere Märkte anzeigen
how-to-buy-cryptocurrency | Как купить криптовалюту | Wie kaufe ich Kryptowährung
cryptocurrency-wallets | Криптовалютные кошельки| Geldbörsen für Kryptowährungen
beginners-guide | Руководство для начинающих | Ratgeber für Anfänger
learn-more-about-the-crossceed-service | Узнать больше о платформе Crossceed | Erfahren Sie mehr über den Crossceed-Service
address_email | Адрес электронной почты | E-Mail-Addresse
link_not_valid | Ссылка недействительна | Der Link ist ungültig
account_verified | Ваш аккаунт успешно подтвержден | Ihr Konto wurde erfolgreich verifiziert
start_trading | Начать торговлю | Mit dem handel beginnen





reg_not_verif | Ваш аккаунт зарегистрирован, но не подтвержден | Ihr Konto ist registriert, aber nicht verifiziert
link_confirm | На ваш адрес электронной почты было отправлено письмо со ссылкой для подтверждения вашей учетной записи | An Ihre E-Mail-Adresse wurde eine E-Mail mit einem Link zur Überprüfung Ihres Kontos gesendet
warn_spam | Внимание! Если письмо не пришло, проверьте папку со СПАМом | Beachtung! Wenn die E-Mail nicht angekommen ist, überprüfen Sie Ihren SPAM-Ordner
enter_code | Введите код, отправленный по электронной почте | Geben Sie den per E-Mail gesendeten Code ein
please_confrirm | Пожалуйста, подтвердите свою учетную запись по следующей ссылке | Bitte überprüfen Sie Ihr Konto unter dem folgenden Link
read_more | Читать полностью | Weiterlesen
group_about | О нас | Über
group_terms | Соглашения | Bedingungen
group_security | Безопасность | Sicherheit
group_help | Помощь | Hilfe
